Price,Close,High,Low,Open,Volume,Date
48.150001525878906,48.150001525878906,49.209999084472656,48.130001068115234,49.04999923706055,4438700,2025-10-13
48.58000183105469,48.58000183105469,48.90999984741211,47.709999084472656,48.0099983215332,5846600,2025-10-14
47.7400016784668,47.7400016784668,48.52000045776367,47.720001220703125,48.31999969482422,5596800,2025-10-15
47.709999084472656,47.709999084472656,48.65999984741211,47.47999954223633,47.900001525878906,5215000,2025-10-16
48.38999938964844,48.38999938964844,48.56999969482422,47.849998474121094,48.0,5562700,2025-10-17
48.810001373291016,48.810001373291016,49.060001373291016,48.29999923706055,48.459999084472656,5357000,2025-10-20
48.56999969482422,48.56999969482422,48.939998626708984,48.52000045776367,48.81999969482422,4990600,2025-10-21
49.18000030517578,49.18000030517578,49.709999084472656,48.36000061035156,48.5099983215332,5553400,2025-10-22
47.93000030517578,47.93000030517578,49.15999984741211,47.900001525878906,49.11000061035156,4809100,2025-10-23
47.40999984741211,47.40999984741211,48.060001373291016,47.27000045776367,47.869998931884766,5085600,2025-10-24
48.290000915527344,48.290000915527344,48.31999969482422,47.31999969482422,47.43000030517578,7592300,2025-10-27
48.04999923706055,48.04999923706055,48.52000045776367,47.84000015258789,47.9900016784668,6617600,2025-10-28
46.56999969482422,46.56999969482422,48.029998779296875,46.459999084472656,47.70000076293945,8082300,2025-10-29
47.04999923706055,47.04999923706055,47.2599983215332,46.529998779296875,46.61000061035156,5910700,2025-10-30
46.61000061035156,46.61000061035156,46.84000015258789,46.209999084472656,46.65999984741211,6762000,2025-10-31
46.43000030517578,46.43000030517578,46.650001525878906,45.939998626708984,46.45000076293945,7765500,2025-11-03
46.380001068115234,46.380001068115234,46.720001220703125,46.11000061035156,46.61000061035156,5281800,2025-11-04
46.38999938964844,46.38999938964844,46.540000915527344,45.79999923706055,46.33000183105469,5408300,2025-11-05
45.97999954223633,45.97999954223633,46.95000076293945,45.959999084472656,46.31999969482422,6110200,2025-11-06
46.880001068115234,46.880001068115234,47.31999969482422,45.939998626708984,46.130001068115234,6267900,2025-11-07
46.220001220703125,46.220001220703125,46.849998474121094,46.040000915527344,46.790000915527344,4784400,2025-11-10
46.650001525878906,46.650001525878906,46.90999984741211,46.36000061035156,46.61000061035156,5525600,2025-11-11
46.5,46.5,46.880001068115234,46.34000015258789,46.779998779296875,5622300,2025-11-12
47.33000183105469,47.33000183105469,47.7400016784668,46.470001220703125,46.560001373291016,7670600,2025-11-13
47.40999984741211,47.40999984741211,48.09000015258789,46.90999984741211,47.86000061035156,5811100,2025-11-14
46.970001220703125,46.970001220703125,47.400001525878906,46.709999084472656,47.400001525878906,5385200,2025-11-17
47.689998626708984,47.689998626708984,47.84000015258789,46.81999969482422,47.09000015258789,6071400,2025-11-18
47.630001068115234,47.630001068115234,47.95000076293945,47.25,47.29999923706055,5459600,2025-11-19
47.810001373291016,47.810001373291016,47.93000030517578,47.40999984741211,47.560001373291016,5786600,2025-11-20
48.33000183105469,48.33000183105469,49.09000015258789,47.630001068115234,48.0,7435000,2025-11-21
46.95000076293945,46.95000076293945,48.29999923706055,46.66999816894531,48.150001525878906,11542800,2025-11-24
46.95000076293945,46.95000076293945,47.70000076293945,46.68000030517578,47.150001525878906,4795000,2025-11-25
47.16999816894531,47.16999816894531,47.38999938964844,46.810001373291016,47.029998779296875,3880600,2025-11-26
47.349998474121094,47.349998474121094,47.540000915527344,47.11000061035156,47.16999816894531,1951000,2025-11-28
47.06999969482422,47.06999969482422,47.4900016784668,46.75,47.29999923706055,5564000,2025-12-01
45.93000030517578,45.93000030517578,46.959999084472656,45.599998474121094,46.959999084472656,6947800,2025-12-02
46.20000076293945,46.20000076293945,46.79999923706055,45.91999816894531,46.099998474121094,5761800,2025-12-03
45.97999954223633,45.97999954223633,46.66999816894531,45.79999923706055,46.43000030517578,6066800,2025-12-04
45.93000030517578,45.93000030517578,46.34000015258789,45.68000030517578,45.939998626708984,5465500,2025-12-05
45.959999084472656,45.959999084472656,46.119998931884766,45.150001525878906,45.88999938964844,5844400,2025-12-08
45.63999938964844,45.63999938964844,46.310001373291016,45.4900016784668,46.13999938964844,5698700,2025-12-09
45.709999084472656,45.709999084472656,46.11000061035156,45.540000915527344,45.709999084472656,8200700,2025-12-10
46.22999954223633,46.22999954223633,46.70000076293945,45.7400016784668,45.939998626708984,8036600,2025-12-11
46.689998626708984,46.689998626708984,46.869998931884766,46.29999923706055,46.400001525878906,4964810,2025-12-12
